"FMTNAME","START","LABEL",
"DRDIFDCD","11830110.0","COCOA POWDER W/ NFD MILK, LOW CAL SWEETENER, DRY",
"DRDIFDCD","11830120.0","COCOA W/ WHEY, LO CAL SWEETENER, FORTIFIED, DRY MIX",
"DRDIFDCD","11830140.0","CHOCOLATE, INST, DRY MIX, FORTIFD, NOT RECONST,P.R.",
"DRDIFDCD","11830150.0","COCOA POWDER, NOT RECONSTITUTED (NO DRY MILK)",
"DRDIFDCD","11830160.0","COCOA-FLAVORED BEVERAGE POWDER W/ SUGAR, DRY MIX",
"DRDIFDCD","11830170.0","COCOA, WHEY, LO CAL SWEETNER MIX, NOT RECONST",
"DRDIFDCD","11830200.0","MILK, MALTED, DRY, UNFORTIFD, NOT RECONST, NOT CHOC",
"DRDIFDCD","11830210.0","MILK, MALTED, DRY, FORTIFD, NOT RECONST, NOT CHOC",
"DRDIFDCD","11830250.0","MILK, MALTED, DRY, UNFORTIFIED, NOT RECONST, CHOC",
"DRDIFDCD","11830260.0","MILK, MALTED, DRY, FORTIFIED, NOT RECONST, CHOC",
"DRDIFDCD","11830400.0","MILK BEV POWDER, DRY, NOT RECONST, NOT CHOC",
"DRDIFDCD","11830450.0","MILK BEV MIX, W/ SUGAR,EGG WHITE, NOT RECONSTITUTED",
"DRDIFDCD","11830500.0","MILK BEV POWDER W/ NFD MILK, LOW CAL, DRY, CHOC",
"DRDIFDCD","11830550.0","MILK BEV POWDER W/ NFD MILK, LOW CAL, DRY, NOT CHOC",
"DRDIFDCD","11830800.0","INSTANT BREAKFAST POWDER, NOT RECONSTITUTED",
"DRDIFDCD","11830810.0","INSTANT BFAST,PWDR,SWT W/ LO CAL SWT,NOT RECONSTUT",
"DRDIFDCD","11830850.0","HIGH CALORIE MILK BEVERAGE, POWDER, NOT RECONST",
"DRDIFDCD","11830900.0","PROTEIN SUPPLEMENT, MILK BASED, DRY POWDER",
"DRDIFDCD","11830940.0","MEAL REPLACEMENT,PROTEIN,MILK BASED,FRUIT JUICE MIX",
"DRDIFDCD","11830970.0","MEAL REPLACEMENT, PROTEIN TYPE, MILK-BASE, POWDER",
"DRDIFDCD","11830990.0","NUTRIENT SUPP, MILK-BASE, POWDER (INCL SUSTAGEN)",
"DRDIFDCD","11831500.0","NUTRIENT SUPPLEMENT,MILK-BASE,HIGH PROT,NOT RECONST",
"DRDIFDCD","11832000.0","MEAL REPLACEMENT,MILK-&SOY-BASE,POWDER,NOT RECONST",
"DRDIFDCD","11835000.0","MEAL REPLACEMENT, CAMBRIDGE, POWDER, NOT RECONST",
"DRDIFDCD","11835100.0","MEAL REPLACEMENT, POSITRIM DRINK MIX, DRY POWDER",
"DRDIFDCD","11835150.0","DYNATRIM, MEAL REPLACEMENT, POWDER",
"DRDIFDCD","11835200.0","LOSE-IT (NANCI), MEAL REPLACEMENT, POWDER",
"DRDIFDCD","12100100.0","CREAM, FLUID, NS AS TO LIGHT, HEAVY OR HALF & HALF",
"DRDIFDCD","12110100.0","CREAM, LIGHT, FLUID (INCL COFFEE CRM, TABLE CREAM)",
"DRDIFDCD","12110300.0","CREAM, LIGHT, WHIPPED, UNSWEETENED",
"DRDIFDCD","12120100.0","CREAM, HALF & HALF",
"DRDIFDCD","12120110.0","CREAM, HALF & HALF, FAT FREE",
"DRDIFDCD","12130100.0","CREAM, HEAVY, FLUID",
"DRDIFDCD","12130200.0","CREAM, HEAVY, WHIPPED, UNSWEETENED",
"DRDIFDCD","12140000.0","CREAM, HEAVY, WHIPPED, SWEETENED",
"DRDIFDCD","12140100.0","CREAM, WHIPPED, PRESSURIZED CONTAINER",
"DRDIFDCD","12140110.0","WHIPPED TOPPING, DAIRY BASED, FAT FREE, PRESSURIZED CONTAINE",
"DRDIFDCD","12200100.0","CREAM SUBSTITUTE, NS AS TO FROZEN,LIQUID OR POWDER",
"DRDIFDCD","12210100.0","CREAM SUBSTITUTE, FROZEN",
"DRDIFDCD","12210200.0","CREAM SUBSTITUTE, LIQUID (INCLUDE COFFEE WHITNER)",
"DRDIFDCD","12210250.0","CREAM SUBSTITUTE, LIGHT, LIQUID",
"DRDIFDCD","12210400.0","CREAM SUBSTITUTE, POWDERED",
"DRDIFDCD","12210410.0","CREAM SUBST, LIGHT, POWDERED (INCL COFFEE MATE, CRE",
"DRDIFDCD","12220000.0","WHIPPED TOPPING, NONDAIRY, NS AS TO CND/FRZ/POWDER",
"DRDIFDCD","12220100.0","WHIPPED TOPPING, NONDAIRY, PRESSURIZED CAN",
