age,food_group,average_taken,recommended_low,recommended_high
118,vegetable,240,337.5,487.5
118,Fats Oils Salad dressings,18,24,33
119,dairy,217.5,435,465
119,fruits,202.5,262.5,337.5
119,grains,817.5,825,1275
119,protein,750,787.5,975
119,vegetable,240,337.5,487.5
119,Fats Oils Salad dressings,18,24,33
120,dairy,217.5,435,465
120,fruits,202.5,262.5,337.5
120,grains,817.5,825,1275
120,protein,750,787.5,975
120,vegetable,240,337.5,487.5
120,Fats Oils Salad dressings,18,24,33
